"","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
"62684",5,5,4,6,4,5,5,5,6,5,6,6,5,6,6,2,3,1,4,3,5,6,4,6,5
"62685",4,2,4,6,6,6,2,5,6,5,4,5,5,6,4,6,6,5,4,6,6,5,6,5,4
"62686",5,4,4,6,4,6,5,3,5,5,2,2,2,3,4,4,4,5,3,5,3,2,5,5,5
"62687",5,4,6,5,5,2,6,5,4,5,3,5,4,5,6,3,3,3,3,5,5,5,5,5,3
"62688",6,6,5,6,4,6,6,5,6,5,6,2,2,5,6,2,1,3,3,4,4,2,5,5,5
"62690",6,5,4,6,4,4,6,5,3,6,1,3,5,4,6,3,1,2,3,3,5,6,5,4,6
"62692",6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,5,6
"62694",4,5,5,6,5,6,6,5,6,6,4,5,6,6,6,3,3,3,5,6,6,3,5,2,5
"62698",3,6,6,6,5,4,3,4,3,4,5,3,4,5,4,3,2,2,4,5,4,2,4,6,5
"62700",6,4,4,4,6,4,4,6,4,4,3,5,4,6,2,5,4,5,6,6,6,5,5,4,5
"62703",5,5,5,4,6,4,3,5,5,4,4,5,5,NA,3,6,5,6,4,5,4,3,5,4,4
"62706",6,6,5,6,5,4,5,6,6,6,6,6,5,5,6,2,2,1,6,2,3,1,5,6,2
"62707",5,4,2,6,5,3,5,4,5,5,NA,3,3,4,4,3,3,3,2,1,5,3,3,4,3
"62708",1,6,6,6,6,5,6,6,6,6,6,6,6,6,6,1,1,1,6,1,6,1,6,6,6
"62710",6,6,4,3,5,5,4,4,4,3,6,5,4,5,3,4,4,3,4,5,5,5,4,6,5
"62712",6,6,5,5,6,6,5,5,6,4,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6
"62715",5,4,5,6,5,5,5,5,5,3,4,3,4,5,1,5,3,4,2,3,4,2,4,4,4
"62716",3,5,4,5,4,3,1,1,4,1,5,4,4,5,3,5,3,4,NA,6,6,5,5,4,5
"62717",6,5,5,6,4,5,4,5,3,5,3,3,4,5,3,4,3,3,4,3,5,5,4,6,5
"62718",4,4,4,5,5,5,4,3,4,3,5,5,5,6,4,2,2,1,3,3,4,5,4,4,3
"62719",6,4,6,5,6,5,2,6,6,6,6,4,5,1,5,1,1,1,1,1,4,6,5,6,6
"62720",5,5,5,6,5,1,5,2,6,5,6,2,5,5,3,4,2,6,6,4,3,6,3,4,2
"62722",6,5,4,1,5,5,4,5,5,2,1,1,3,1,2,3,3,1,1,2,5,5,5,6,5
"62726",6,5,6,6,5,2,5,4,5,6,6,6,4,6,4,4,3,6,6,6,5,1,4,2,4
"62728",4,4,NA,5,3,5,5,4,5,2,4,2,1,2,3,5,2,4,4,5,4,5,6,5,6
"62729",2,4,3,4,3,3,2,3,3,3,4,4,5,4,3,2,2,3,2,3,5,6,5,6,4
"62731",2,4,4,4,2,5,2,2,3,5,4,3,NA,4,3,3,3,2,2,5,2,5,2,5,3
"62740",4,5,5,5,5,5,4,3,5,3,5,5,4,4,4,2,1,3,4,3,5,3,4,5,5
"62741",4,4,4,6,5,5,4,5,5,6,2,4,4,4,4,5,4,4,5,5,4,3,4,5,4
"62744",3,5,4,5,2,5,5,5,4,5,4,5,6,2,6,2,2,2,4,2,6,4,6,6,6
"62745",6,6,6,6,5,2,5,6,3,1,1,2,5,5,6,3,2,3,3,1,2,1,4,6,4
"62749",6,6,4,6,5,2,5,6,6,5,6,4,4,3,5,5,5,6,1,3,4,6,4,5,5
"62750",5,4,4,6,5,5,2,5,6,5,5,5,3,5,4,5,2,5,5,6,4,4,4,4,4
"62751",5,4,5,3,5,4,4,5,3,2,2,1,3,4,3,4,3,3,3,4,5,2,4,6,2
"62757",2,4,4,6,4,5,5,5,5,5,3,5,3,5,5,3,3,NA,3,5,5,2,3,5,5
"62758",5,5,4,4,4,2,2,4,5,2,6,6,5,6,5,4,4,6,6,6,5,6,4,4,6
"62761",6,6,5,4,5,6,5,6,6,5,6,6,5,5,5,6,6,5,5,4,5,5,5,6,6
"62764",3,3,5,6,5,4,5,5,6,5,4,3,4,6,5,2,1,1,4,3,6,4,4,5,4
"62765",6,6,6,6,1,1,4,6,6,6,3,6,3,3,2,6,6,6,6,6,1,6,2,5,6
"62766",3,5,4,2,2,5,3,3,4,2,2,1,3,5,3,1,1,2,1,4,6,1,5,6,3
"62767",3,5,4,6,4,1,1,2,3,2,6,6,3,4,6,1,3,6,6,6,6,2,1,6,1
"62768",6,6,6,6,6,6,6,5,6,5,6,6,6,5,5,6,5,6,6,3,5,3,4,5,3
"62770",4,6,6,6,5,2,5,5,5,5,4,3,4,5,4,4,3,3,2,1,2,2,4,5,3
"62772",6,5,5,6,5,4,5,4,3,3,5,6,5,6,5,5,5,3,3,4,5,2,4,6,5
"62776",5,5,3,2,4,2,2,4,3,3,4,4,6,5,4,2,1,3,2,3,6,1,5,6,6
"62778",6,6,6,5,6,NA,5,5,6,6,5,6,6,5,6,6,2,6,6,4,6,4,5,2,6
"62779",6,4,5,4,5,3,5,4,5,3,3,4,4,4,4,5,4,6,3,4,4,3,4,5,4
"62780",6,6,6,6,5,6,6,6,6,5,4,4,5,6,6,6,4,3,5,4,6,6,6,6,4
"62781",5,5,4,6,4,6,5,4,5,6,4,5,3,4,5,5,4,6,6,6,5,2,4,4,5
"62783",2,5,5,5,5,5,5,5,2,2,2,2,5,5,5,2,2,2,2,2,5,2,5,5,2
"62785",4,6,5,6,5,5,6,5,6,3,5,5,4,6,5,3,3,3,4,4,6,6,5,4,3
"62786",6,5,6,6,6,6,6,5,6,3,4,5,6,5,6,3,3,2,4,6,6,6,6,5,5
"62787",6,1,5,6,3,5,3,1,5,2,3,4,1,5,4,4,4,4,4,5,5,2,2,6,1
"62788",6,6,6,6,6,6,6,5,5,4,6,5,6,5,5,5,2,2,2,3,5,4,4,6,5
"62789",6,6,4,6,6,4,4,3,2,5,6,6,3,6,4,6,5,5,5,6,5,6,5,5,5
"62790",6,5,5,6,6,6,5,6,6,6,4,6,6,6,5,3,3,3,4,6,6,6,5,1,3
"62792",2,4,4,5,5,4,3,4,3,4,4,6,2,3,5,2,2,4,6,6,4,1,4,5,1
"62795",5,5,2,5,4,5,4,1,2,2,5,2,1,6,5,3,3,5,3,2,2,1,1,6,1
"62796",6,5,5,5,5,2,4,4,1,2,3,1,3,5,1,3,2,3,3,3,5,1,2,5,3
"62797",6,6,6,6,6,3,4,1,6,3,6,6,6,6,6,6,6,5,6,6,5,1,3,4,4
"62800",4,5,6,6,4,3,5,3,6,6,6,6,5,5,6,3,1,1,2,4,6,6,5,6,5
"62801",1,6,6,6,6,5,6,5,6,6,2,2,4,2,5,5,4,6,4,2,5,2,4,5,4
"62803",6,6,5,5,5,4,4,4,3,5,5,4,3,5,2,6,6,5,5,2,3,5,4,5,3
"62804",4,6,1,5,6,6,3,3,5,3,6,6,5,6,6,4,2,5,4,5,6,4,6,6,6
"62805",6,6,5,6,5,4,5,5,5,3,5,4,5,5,4,3,2,2,3,4,5,6,5,6,5
"62809",4,2,3,4,2,NA,3,2,5,4,1,1,2,5,3,1,2,2,5,2,3,1,1,1,4
"62810",6,5,5,5,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,1,5,4,5
"62816",5,6,6,5,3,6,5,6,6,1,6,2,4,4,6,1,1,1,1,1,2,6,3,6,5
"62817",3,5,5,6,6,3,5,6,2,4,1,1,5,6,5,2,4,5,6,2,5,1,4,1,2
"62819",6,4,6,6,6,3,4,2,5,2,3,4,4,4,4,5,5,5,4,6,4,4,5,6,1
"62821",4,6,6,6,5,6,5,6,6,5,4,6,5,6,5,6,4,5,6,6,5,6,5,6,6
"62822",6,5,5,6,4,4,4,4,4,5,6,5,4,5,4,4,4,4,6,5,4,5,4,4,4
"62825",5,5,2,1,3,4,2,4,3,2,3,3,2,4,3,4,2,2,3,6,5,5,3,3,5
"62826",5,5,4,6,5,4,5,4,4,3,6,4,4,5,5,2,2,3,4,4,4,3,4,4,3
"62827",3,5,5,6,5,4,6,6,3,3,6,2,4,4,5,4,2,3,3,3,5,3,5,4,2
"62828",5,6,5,6,6,6,6,5,3,5,6,5,5,6,5,4,2,6,3,4,6,3,5,5,4
"62831",1,2,5,6,2,6,5,3,2,4,2,5,4,5,6,1,1,1,2,1,5,2,4,4,1
"62832",6,5,5,6,5,5,5,5,4,4,5,6,5,6,6,4,4,6,5,6,6,2,2,6,3
"62834",6,6,4,4,4,4,4,6,5,5,1,1,5,5,6,5,3,3,6,5,6,3,5,6,5
"62835",6,5,4,5,5,4,4,3,NA,3,4,5,4,5,4,3,2,2,1,2,5,1,3,6,5
"62837",5,5,6,5,4,1,5,6,6,3,3,6,5,4,6,3,3,3,3,6,6,6,5,6,6
"62839",3,6,6,2,5,5,5,5,5,6,2,5,6,6,6,5,1,1,4,5,6,1,5,4,3
"62840",6,5,5,6,5,4,4,4,6,5,3,5,5,6,5,4,4,5,6,5,6,6,5,5,5
"62844",6,6,5,6,4,5,5,5,5,5,5,5,3,6,3,2,2,2,6,3,4,1,5,5,5
"62846",2,6,2,6,5,4,5,4,5,3,2,5,3,5,4,6,4,6,5,4,6,5,2,1,6
"62847",NA,6,6,NA,6,6,6,5,6,6,6,6,5,6,6,6,6,5,6,3,5,6,6,2,3
"62849",5,6,5,6,5,4,6,5,6,5,3,3,5,5,6,5,5,3,5,6,5,6,3,5,3
"62851",4,6,6,6,3,6,4,6,3,5,6,6,5,6,6,5,4,5,6,5,6,1,5,1,1
"62853",6,6,6,6,6,5,6,6,5,3,1,3,5,5,5,5,6,6,5,3,6,6,4,6,5
"62856",5,5,5,6,6,4,5,5,6,5,6,5,4,6,5,6,6,6,6,5,6,3,4,1,4
"62857",4,4,4,6,4,4,4,3,3,3,6,2,4,3,3,2,2,3,4,4,4,2,4,4,3
"62858",3,6,5,6,6,5,5,5,5,5,6,6,4,6,6,5,4,5,5,5,5,3,4,5,3
"62861",5,6,4,6,5,4,4,2,3,3,5,5,6,6,5,6,5,2,3,5,5,5,6,6,6
"62863",6,6,5,6,6,3,2,5,5,NA,6,6,4,6,6,4,4,4,4,5,6,5,4,6,5
"62864",4,4,2,4,4,5,1,4,5,6,6,3,3,3,4,1,1,1,5,6,3,1,1,5,6
"62867",6,6,6,4,5,4,3,4,3,3,4,1,6,3,6,6,4,6,4,6,5,4,6,4,6
"62869",6,5,6,6,5,4,4,4,5,2,4,2,1,2,4,5,3,3,1,3,4,3,3,4,4
"62870",6,6,6,6,6,2,NA,6,6,NA,1,2,6,6,6,3,6,1,3,2,6,6,5,5,6
"62872",6,6,6,6,6,2,5,6,6,NA,1,2,6,6,6,3,6,1,3,2,6,6,5,5,6
"62874",6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,3,4,6
"62876",6,5,4,5,4,4,2,3,NA,4,4,3,3,1,4,4,3,3,3,3,4,3,NA,5,6
"62877",5,6,6,6,6,5,4,5,6,3,1,3,6,5,4,4,4,5,2,4,NA,6,5,6,6
"62878",5,5,5,6,6,2,6,4,6,4,2,3,6,4,5,6,6,6,6,2,6,3,6,4,4
"62879",6,6,6,6,6,6,6,5,5,6,2,1,6,5,6,6,5,6,5,6,6,6,6,6,6
"62881",5,6,6,6,5,6,5,6,6,6,3,2,4,5,6,4,2,2,3,4,6,6,4,5,6
"62883",4,4,4,4,4,4,4,4,5,3,2,4,4,4,4,5,5,4,2,5,5,5,4,5,2
"62887",6,4,1,4,5,6,6,5,6,6,5,5,4,6,6,NA,2,NA,5,3,4,3,4,5,2
"62889",5,5,5,4,3,4,2,5,3,4,4,4,4,4,5,3,2,3,4,2,5,6,4,4,5
"62890",6,6,6,4,4,5,4,5,3,2,5,3,4,4,5,3,2,3,5,2,6,6,5,5,5
"62891",5,5,6,4,6,6,6,6,6,5,3,4,5,4,6,5,4,4,5,5,6,6,6,6,6
"62897",5,6,5,6,3,4,5,5,6,6,4,1,4,3,6,2,1,5,5,3,6,5,4,4,6
"62898",3,6,6,5,6,6,6,6,6,6,6,6,6,6,6,3,5,6,6,5,6,3,6,6,5
"62899",5,1,6,6,6,5,6,5,6,6,2,2,6,5,5,4,3,6,2,1,4,5,NA,2,2
"62901",5,5,4,4,2,4,3,5,3,4,3,3,3,3,3,2,2,1,1,2,4,5,2,5,3
"62903",5,5,5,5,1,5,5,2,3,5,5,5,NA,5,5,6,6,6,6,6,5,6,4,4,5
"62908",4,5,3,6,1,4,3,3,2,2,4,1,1,2,2,1,1,1,2,1,3,1,1,6,3
"62910",4,5,5,6,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,3,4,5,4,5,5
"62911",3,4,4,4,4,5,4,4,6,5,3,4,3,4,5,3,2,4,3,4,3,2,4,3,4
"62916",5,6,6,6,5,2,1,4,3,6,5,5,5,6,4,3,4,5,6,5,6,6,5,6,5
"62918",3,3,1,3,3,6,4,4,5,5,4,3,3,4,5,2,2,1,1,1,5,2,4,6,4
"62920",5,6,6,6,6,5,5,5,5,4,2,2,5,5,4,6,2,3,1,1,6,5,6,6,5
"62922",4,6,4,6,5,5,5,5,5,3,2,5,4,5,5,6,6,5,5,2,4,3,5,4,3
"62926",6,3,2,3,2,5,5,2,3,2,2,2,3,2,3,3,3,2,1,5,6,5,5,6,5
"62931",6,6,6,4,6,5,5,6,6,5,2,5,4,5,3,3,4,2,3,1,5,6,3,5,1
"62933",6,5,4,5,5,1,6,4,6,6,3,3,1,5,5,6,5,6,4,3,3,4,3,1,5
"62934",3,4,2,4,4,4,4,4,4,3,4,2,2,2,4,5,4,4,3,3,2,5,4,4,5
"62936",6,4,4,5,5,3,1,2,5,5,3,2,2,3,5,5,NA,6,3,6,2,3,4,5,5
"62938",5,5,5,6,5,6,5,4,5,5,6,6,6,6,6,5,5,5,5,6,6,5,6,4,5
"62939",4,5,5,5,4,4,4,4,4,4,3,5,4,4,5,4,4,4,5,5,5,5,5,5,6
"62941",5,5,4,5,5,4,4,4,4,4,3,4,3,4,5,4,3,5,4,4,5,5,5,5,5
"62942",6,5,5,6,6,5,6,4,5,5,2,3,5,5,5,3,3,5,2,3,4,6,3,4,5
"62948",3,6,6,6,6,4,3,1,4,5,6,3,4,6,5,4,1,1,5,6,5,3,3,5,6
"62949",4,4,6,3,3,6,4,4,5,4,6,5,6,6,6,NA,1,3,5,4,6,4,6,4,NA
"62950",6,6,6,6,6,6,5,4,6,6,2,4,4,5,6,4,2,5,5,5,1,5,5,3,5
"62951",6,4,5,5,5,4,2,4,5,3,3,5,2,5,3,5,5,5,5,6,5,6,5,6,5
"62953",6,6,6,6,5,6,5,5,6,5,2,2,4,5,2,5,4,2,5,5,6,5,5,4,5
"62954",5,4,4,5,2,5,5,1,6,1,4,3,3,2,1,5,5,3,1,3,2,5,6,5,6
"62957",5,5,2,6,4,6,5,4,6,5,5,5,5,5,5,6,6,6,6,6,5,6,3,5,5
"62962",6,5,6,6,5,4,2,4,6,6,5,5,5,6,5,6,5,6,6,5,4,3,6,4,6
"62965",5,4,2,5,4,5,5,4,3,1,2,2,2,2,4,3,2,2,1,3,6,6,6,6,6
"62968",3,4,4,6,2,2,4,4,4,3,2,3,2,4,4,5,4,3,2,4,4,5,5,5,3
"62969",6,5,6,6,6,6,5,5,6,2,6,1,6,6,5,3,2,2,6,6,4,6,6,3,4
"62971",4,5,5,6,6,5,5,5,5,5,6,5,5,6,6,1,1,2,2,2,6,1,NA,6,2
"62974",2,6,6,6,6,5,5,4,6,6,2,6,5,6,3,6,6,4,6,6,5,6,6,4,3
"62976",6,6,6,6,6,6,5,5,4,6,2,3,4,4,5,6,6,5,3,5,6,5,4,6,6
"62983",6,5,5,6,6,5,3,4,5,4,4,2,4,5,4,3,2,4,5,2,4,5,5,6,5
"62984",6,6,5,6,4,4,2,4,2,4,6,1,4,4,1,3,2,3,3,6,1,6,2,5,6
"62989",4,6,5,6,5,3,5,5,6,6,4,6,3,4,4,4,4,5,4,3,4,3,4,4,5
"62990",1,1,1,1,1,6,6,6,6,6,1,1,1,1,6,1,1,1,1,6,6,6,6,6,6
"62991",2,5,4,5,5,5,5,5,4,6,3,2,4,4,5,3,3,3,3,3,4,2,4,4,3
"62994",6,6,5,2,5,5,5,3,4,2,6,6,4,6,4,2,2,1,2,2,4,5,4,3,5
"62995",1,1,1,2,3,2,4,2,3,3,4,2,4,3,4,2,1,3,3,3,5,6,4,4,5
"62996",5,5,5,5,4,4,5,5,5,6,6,6,3,5,4,6,5,5,3,6,3,5,4,5,5
"62997",5,NA,5,3,6,2,1,5,5,1,6,6,5,6,6,1,1,2,2,4,4,1,3,3,4
"63004",2,5,5,6,3,4,5,5,5,5,3,1,4,5,4,2,2,2,3,3,5,3,1,2,2
"63007",3,6,6,6,4,4,6,6,4,2,4,5,6,5,6,1,1,3,4,1,6,1,5,6,3
"63013",5,5,4,4,4,3,4,3,3,2,5,3,4,4,4,2,2,5,3,1,4,2,3,4,4
"63017",4,4,5,6,5,6,4,4,5,3,5,4,4,6,6,2,1,5,5,4,4,4,2,6,4
"63018",5,6,6,6,6,5,5,5,5,3,5,3,5,6,5,3,2,5,5,6,5,6,5,6,5
"63021",2,3,4,1,4,5,4,5,4,3,5,3,4,4,3,NA,2,4,3,4,6,6,5,6,5
"63023",6,5,6,5,5,6,6,5,5,5,4,5,5,4,2,6,2,3,5,3,4,6,5,5,6
"63026",5,6,3,6,5,6,6,6,6,6,3,5,1,2,2,3,2,3,2,3,4,5,4,5,4
"63027",6,6,5,2,5,1,2,3,4,6,6,5,5,1,3,6,6,6,6,6,2,5,4,5,5
"63030",6,NA,NA,NA,5,6,NA,NA,NA,5,NA,5,NA,6,NA,NA,4,3,NA,NA,NA,5,NA,4,NA
"63034",3,6,6,6,6,4,6,5,4,4,2,2,6,6,5,6,3,1,3,4,6,2,6,5,NA
"63035",NA,6,3,5,4,5,5,5,6,5,5,3,3,5,4,4,3,1,1,2,5,5,3,6,5
"63036",5,6,6,NA,6,4,3,4,6,6,4,6,4,5,5,6,5,6,5,6,6,6,4,6,4
"63037",2,5,5,6,5,6,6,4,3,3,1,2,2,3,3,3,2,5,3,6,5,2,4,6,6
"63038",6,5,4,2,5,5,5,4,5,3,2,5,5,5,5,5,6,2,2,6,6,6,5,6,6
"63039",3,5,6,1,5,6,5,4,5,2,6,3,3,5,6,2,1,1,2,6,4,3,5,4,6
"63040",3,4,5,4,4,4,4,3,NA,3,2,3,3,4,3,2,2,5,3,3,3,4,4,6,2
"63042",5,6,6,5,5,4,4,3,3,4,6,6,6,6,6,3,3,4,6,3,5,6,6,6,5
"63047",5,5,5,6,4,4,4,2,4,2,5,2,4,4,4,3,3,3,2,3,4,4,4,5,5
"63048",6,6,6,6,6,5,5,2,3,2,5,4,6,5,5,2,1,1,1,2,4,2,6,6,5
"63049",6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,5
"63050",4,4,6,4,5,5,4,3,NA,3,3,4,4,5,4,3,4,4,5,6,5,5,4,4,2
"63051",5,6,6,6,6,NA,5,2,6,5,6,6,5,6,5,6,4,5,5,4,6,5,6,5,4
"63054",5,5,5,6,5,4,5,5,5,2,5,5,5,5,NA,5,5,3,5,5,5,3,5,5,5
"63055",4,6,6,6,5,5,6,6,5,6,2,3,5,5,6,2,1,1,5,2,5,5,5,6,5
"63059",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
"63062",4,4,4,4,4,5,3,4,4,2,3,3,2,3,4,2,1,1,3,2,4,5,3,5,3
"63063",5,4,4,3,5,3,4,3,3,3,4,2,5,4,3,2,2,1,3,1,5,5,5,6,6
"63069",5,6,6,6,5,6,6,5,4,4,3,2,4,4,4,4,2,4,4,4,4,5,5,6,3
"63070",2,2,3,5,4,6,4,5,5,3,2,1,2,2,2,3,4,6,4,6,6,5,2,6,5
"63071",6,6,6,6,6,6,5,6,6,6,5,4,3,6,5,5,5,5,6,6,5,6,4,6,6
"63073",4,5,3,5,5,6,4,4,5,2,5,5,2,6,4,3,3,4,5,5,6,6,5,6,6
"63075",6,6,5,6,5,6,5,5,3,5,3,2,4,5,5,4,4,2,3,1,4,2,6,5,3
"63077",6,5,5,5,6,5,5,5,5,6,1,2,2,5,3,2,2,2,1,2,2,5,5,4,5
"63081",4,4,5,6,5,4,6,4,6,6,5,5,5,5,6,4,4,4,5,6,6,4,5,4,2
"63083",5,5,5,6,4,3,4,4,4,4,3,3,4,4,5,3,2,3,3,3,4,2,4,4,4
"63084",6,6,6,4,5,5,4,5,5,6,5,5,5,6,5,6,3,4,3,6,4,6,5,5,5
"63089",5,5,5,3,5,5,6,3,6,1,6,5,4,5,5,2,2,1,2,3,6,6,5,5,5
"63090",2,6,6,4,5,5,5,4,5,4,4,5,5,6,4,6,5,5,5,5,6,6,3,5,5
"63092",2,4,5,1,5,3,5,5,3,5,4,3,4,3,2,3,2,4,2,5,6,5,5,5,6
"63094",4,5,2,NA,5,4,3,3,4,2,3,3,3,4,2,3,3,5,5,6,5,6,4,5,5
"63096",6,6,5,6,5,4,5,5,6,5,6,5,4,5,4,6,5,5,6,5,5,6,4,5,5
"63097",6,6,6,6,6,5,6,6,5,6,6,3,6,4,5,1,2,3,2,1,2,3,4,6,5
"63099",6,5,6,6,1,3,5,5,5,5,5,6,4,6,4,6,6,5,4,4,5,4,4,2,2
"63100",4,2,4,1,4,5,6,3,5,3,3,4,2,4,5,3,1,2,3,6,3,6,4,2,4
"63102",6,6,4,5,4,5,5,5,6,3,4,4,5,5,5,4,3,5,5,5,4,1,4,5,3
"63103",2,6,3,2,2,5,6,6,6,5,2,4,4,5,4,5,2,4,4,2,6,6,6,6,2
"63104",3,4,3,3,3,3,3,3,4,3,4,3,3,6,3,4,4,3,4,4,3,4,3,3,4
"63108",5,3,4,4,5,3,2,5,3,1,4,5,4,5,2,5,3,6,5,6,3,4,3,4,4
"63109",5,6,4,2,5,5,5,5,6,6,2,5,6,4,6,4,4,6,6,NA,6,3,4,6,6
"63112",5,4,4,3,5,3,2,3,3,3,3,5,5,5,5,6,6,5,5,6,4,6,3,6,5
"63115",5,5,5,6,5,5,5,5,2,3,1,3,3,5,2,5,5,5,4,4,6,5,4,6,2
"63116",2,6,6,6,6,4,5,5,5,6,6,6,5,6,5,6,NA,5,6,5,4,4,5,4,4
"63120",5,5,5,3,2,5,4,6,6,3,4,1,2,1,5,1,1,1,4,5,5,6,4,3,5
"63121",5,6,5,6,5,6,6,6,6,2,5,5,4,5,4,6,3,3,6,5,5,1,3,4,4
"63122",5,4,4,4,5,3,4,3,4,3,3,3,3,4,4,4,4,4,3,5,5,5,4,5,5
"63123",4,1,5,6,4,5,6,1,5,6,2,4,5,6,5,6,6,6,6,6,6,3,6,6,6
"63125",5,4,2,2,3,5,5,5,5,5,3,2,2,3,2,3,2,4,3,3,5,4,4,4,2
"63127",5,5,6,6,2,5,5,5,6,5,5,2,2,2,5,5,2,1,5,1,4,1,4,6,5
"63128",5,6,6,6,5,5,5,6,5,5,6,5,5,6,4,5,3,3,5,3,5,5,5,4,5
"63130",6,6,6,5,5,5,4,5,5,1,6,5,6,6,6,2,1,2,3,1,6,1,5,5,5
"63131",6,6,NA,6,6,5,6,5,NA,6,6,4,6,5,5,6,6,2,6,6,5,6,4,5,5
"63135",5,5,4,5,5,4,4,5,4,3,4,5,4,5,5,3,4,5,5,5,5,3,4,4,3
"63136",5,6,5,5,2,4,6,5,5,3,5,1,4,3,5,5,3,2,3,5,4,3,5,5,6
"63139",6,6,5,6,6,5,5,6,5,5,5,5,5,5,6,3,3,6,6,4,5,4,4,5,5
"63141",6,6,6,NA,5,1,6,6,6,6,5,2,4,4,6,2,2,1,3,4,5,6,2,5,6
"63142",5,5,5,5,5,3,4,5,5,3,5,5,6,6,6,4,5,4,5,5,5,3,5,6,5
"63146",6,6,6,6,1,4,2,2,5,3,6,6,6,5,6,5,5,5,4,5,6,6,6,5,6
"63147",6,5,4,5,5,6,5,6,6,6,5,6,5,6,5,4,4,3,5,4,5,6,5,5,5
"63152",6,3,4,4,4,5,6,4,3,3,1,3,2,3,2,4,5,6,6,5,5,6,4,6,5
"63154",5,6,5,6,4,5,5,6,5,4,6,5,5,6,5,4,2,5,5,5,5,3,5,3,4
"63155",4,6,5,4,4,5,5,6,5,3,3,3,3,4,5,3,3,2,3,2,6,3,6,6,5
"63158",6,1,5,6,6,6,5,2,6,2,3,2,2,5,3,4,3,3,5,4,6,6,6,6,6
"63161",5,6,4,2,5,NA,3,3,6,6,2,3,6,3,5,6,6,6,3,6,6,6,5,4,6
"63163",6,6,5,6,5,6,6,6,6,5,6,5,4,6,6,6,3,6,4,6,6,6,5,6,6
"63165",6,5,5,6,5,3,4,3,5,5,5,4,3,5,3,4,4,4,4,5,4,5,2,5,5
"63171",2,4,6,2,4,4,4,4,4,2,2,3,2,4,5,2,1,2,3,2,5,6,5,6,1
"63172",2,6,6,6,6,6,5,5,6,6,5,4,5,6,6,5,2,3,NA,3,6,3,5,4,4
"63173",4,5,5,3,4,4,4,6,5,3,6,4,5,5,6,4,2,3,2,4,6,5,4,6,5
"63176",6,6,6,5,6,4,5,5,5,5,5,6,3,5,5,6,6,5,5,6,6,3,4,3,5
"63181",4,4,5,6,2,3,5,4,5,4,4,5,3,5,4,5,4,5,5,2,2,5,3,2,5
"63182",5,4,4,6,4,4,5,4,5,5,6,5,4,5,4,3,4,2,1,5,2,4,5,5,4
"63183",4,4,4,6,5,3,3,2,4,3,6,6,3,6,4,5,5,6,6,6,4,4,4,3,5
"63187",4,3,3,4,5,3,5,5,6,1,6,3,4,5,5,3,4,3,5,3,5,3,4,4,4
"63192",5,5,4,4,3,4,3,4,4,3,4,3,3,3,3,3,3,3,3,5,4,4,3,5,3
"63193",4,5,2,1,2,5,1,2,5,3,6,5,5,5,6,3,1,4,5,4,5,5,6,5,2
"63194",3,6,4,2,4,4,4,4,3,3,3,5,3,5,3,3,2,5,5,5,5,6,4,5,4
"63197",5,5,5,2,4,5,5,4,4,3,5,5,4,5,5,2,1,2,2,2,2,4,4,6,5
"63200",4,6,6,3,4,3,4,6,5,6,1,4,1,4,4,5,6,5,1,1,6,5,6,2,4
"63201",6,5,6,5,5,5,4,4,5,5,5,6,5,6,4,5,4,5,3,6,6,3,4,5,4
"63203",5,4,5,1,5,4,2,2,3,4,5,2,4,4,4,4,3,4,4,3,5,2,3,4,3
"63209",6,5,4,5,5,6,6,2,6,6,NA,1,2,5,5,3,3,2,1,1,4,5,3,6,3
"63215",4,4,6,1,2,5,5,2,4,2,6,1,5,4,5,3,2,2,1,5,3,5,5,6,3
"63222",4,4,2,3,4,4,5,3,4,2,5,3,5,5,5,3,3,3,2,5,5,5,5,6,6
"63223",5,5,6,5,4,3,2,2,2,1,5,4,3,6,4,4,4,2,3,4,3,5,3,6,5
"63225",5,5,6,2,4,6,6,6,6,3,4,5,2,5,3,5,3,6,2,2,3,3,2,6,4
"63227",5,4,5,2,3,4,4,4,5,3,6,2,4,4,4,3,3,3,2,3,4,4,4,4,4
"63228",6,5,5,5,5,3,4,3,3,3,6,3,5,4,6,4,4,4,5,3,5,6,4,6,5
"63233",6,5,5,6,4,5,5,3,5,4,2,3,2,2,5,2,5,3,5,3,5,5,5,5,6
"63237",5,6,6,6,6,5,5,5,4,3,5,6,5,6,6,5,2,4,5,6,5,5,5,5,5
"63238",6,5,6,2,3,5,3,2,5,3,2,3,4,5,6,5,4,2,2,5,6,3,6,6,5
"63239",4,6,6,6,6,6,5,6,5,6,6,6,6,6,5,5,5,4,5,5,6,6,5,6,6
